customer_id,total_sessions,total_transactions,total_revenue_sek,total_pageviews,avg_time_on_site,first_traffic_source,primary_device,country
CLIENT_100022,1,3,36044.38,23,1636.0,google,mobile,United States
CLIENT_100100,1,1,6040.6,48,479.0,direct,tablet,Sweden
CLIENT_100107,1,1,17731.74,42,1713.0,google,tablet,France
CLIENT_100550,1,1,38895.32,45,817.0,google,tablet,France
CLIENT_100658,1,1,14999.28,3,885.0,google,tablet,Sweden
CLIENT_101108,1,3,8382.16,46,1146.0,referral,tablet,Germany
CLIENT_101495,1,1,43545.88,7,306.0,referral,mobile,United Kingdom
CLIENT_102426,1,1,34414.82,16,155.0,email,desktop,France
CLIENT_102798,1,1,31347.43,28,1450.0,google,mobile,United States
CLIENT_103218,1,1,41808.84,5,872.0,direct,tablet,United Kingdom
CLIENT_105668,1,3,36632.84,46,954.0,google,tablet,United States
CLIENT_106467,1,3,39734.8,44,1517.0,email,desktop,Germany
CLIENT_110100,1,3,36126.9,24,1101.0,email,tablet,United States
CLIENT_112549,1,2,27609.42,9,1048.0,google,desktop,Germany
CLIENT_112559,1,1,36117.97,26,664.0,direct,tablet,United Kingdom
CLIENT_112880,1,1,41005.72,41,514.0,email,desktop,United Kingdom
CLIENT_113855,1,1,11060.6,34,231.0,facebook,mobile,United Kingdom
CLIENT_115230,1,1,36676.28,21,1424.0,direct,desktop,United States
CLIENT_115498,1,3,16423.11,23,677.0,google,desktop,France
CLIENT_115515,1,1,32105.63,13,1136.0,email,desktop,Germany
CLIENT_116416,1,1,16378.06,40,83.0,direct,desktop,United States
CLIENT_117657,1,3,9560.39,22,589.0,referral,mobile,France
CLIENT_118267,1,1,35285.55,36,1551.0,google,tablet,Germany
CLIENT_121336,1,1,15237.91,24,502.0,direct,tablet,United Kingdom
CLIENT_121822,1,1,47185.0,6,1489.0,direct,desktop,France
CLIENT_122275,1,3,26168.94,8,781.0,direct,tablet,Sweden
CLIENT_122407,1,1,16628.77,18,131.0,facebook,tablet,France
CLIENT_123419,1,3,34332.08,38,135.0,direct,mobile,Germany
CLIENT_127532,1,1,48368.88,20,1105.0,direct,tablet,Germany
CLIENT_128353,1,2,40671.81,7,704.0,facebook,mobile,Germany
CLIENT_130153,1,1,15902.43,17,815.0,direct,mobile,Germany
CLIENT_131345,1,1,28096.69,46,46.0,google,desktop,Sweden
CLIENT_131452,1,2,30869.24,38,1178.0,facebook,desktop,United States
CLIENT_131475,1,2,3459.21,44,1416.0,email,mobile,France
CLIENT_131616,1,2,41215.17,2,424.0,facebook,desktop,Germany
CLIENT_132283,1,1,38997.92,40,138.0,direct,desktop,United States
CLIENT_132753,1,1,2536.88,12,699.0,email,tablet,France
CLIENT_133143,1,1,44041.17,3,1480.0,referral,mobile,France
CLIENT_133625,1,1,9853.69,10,369.0,referral,mobile,United Kingdom
CLIENT_133881,1,3,48703.94,34,431.0,google,tablet,Germany
CLIENT_135079,1,2,15911.07,28,803.0,referral,mobile,United Kingdom
CLIENT_137655,1,1,13575.29,16,1761.0,google,tablet,France
CLIENT_138501,1,1,33541.51,46,1230.0,google,desktop,United States
CLIENT_139597,1,1,18455.88,20,251.0,referral,mobile,Sweden
CLIENT_141241,1,3,46427.85,50,1085.0,facebook,desktop,France
CLIENT_142100,1,1,3176.42,22,1435.0,referral,tablet,Germany
CLIENT_142482,1,1,44426.18,23,443.0,direct,tablet,United States
CLIENT_142659,1,3,29981.76,35,874.0,facebook,tablet,United Kingdom
CLIENT_144007,1,3,9901.72,6,572.0,direct,mobile,France
CLIENT_145018,1,1,32182.06,48,944.0,referral,mobile,United Kingdom
CLIENT_145777,1,1,14802.85,26,314.0,google,desktop,United States
CLIENT_146571,1,1,25254.14,21,1587.0,direct,mobile,France
CLIENT_149035,1,2,3453.41,24,1376.0,referral,mobile,France
CLIENT_149737,1,3,30878.69,29,108.0,email,mobile,France
CLIENT_151647,1,3,19055.38,6,257.0,referral,desktop,France
CLIENT_153388,1,1,7009.18,15,879.0,facebook,mobile,Germany
CLIENT_155172,1,3,20099.9,4,298.0,referral,mobile,United States
CLIENT_156382,1,2,38362.93,39,1665.0,google,tablet,United States
CLIENT_157401,1,2,12777.81,32,1689.0,facebook,mobile,France
CLIENT_157621,1,1,8749.16,43,1266.0,referral,desktop,France
CLIENT_158038,1,3,11139.09,36,1018.0,referral,desktop,United States
CLIENT_159053,1,1,13128.25,25,1545.0,facebook,tablet,Sweden
CLIENT_160882,1,1,20518.52,43,276.0,direct,mobile,France
CLIENT_161469,1,1,37743.07,10,1206.0,referral,tablet,Sweden
CLIENT_163271,1,1,35599.65,16,1539.0,direct,desktop,Sweden
CLIENT_164466,1,1,39005.89,6,1262.0,facebook,mobile,United Kingdom
CLIENT_166699,1,3,29956.21,24,101.0,referral,mobile,Germany
CLIENT_168826,1,1,31132.63,48,1610.0,google,desktop,United States
CLIENT_170330,1,1,35401.91,44,1309.0,email,desktop,Germany
CLIENT_170640,1,3,12345.57,40,1224.0,google,desktop,United Kingdom
CLIENT_171060,1,1,30596.02,37,1656.0,direct,desktop,France
CLIENT_171963,1,1,38659.82,23,1432.0,direct,tablet,Germany
CLIENT_172210,1,3,47295.7,18,646.0,google,mobile,United Kingdom
CLIENT_172276,1,1,44075.46,6,685.0,email,tablet,United States
CLIENT_174661,1,1,12144.12,18,1729.0,direct,tablet,France
CLIENT_175823,1,1,24783.48,11,1460.0,google,mobile,United Kingdom
CLIENT_176601,1,2,38494.38,8,1661.0,email,mobile,Sweden
CLIENT_176699,1,1,6928.59,10,1616.0,referral,mobile,United Kingdom
CLIENT_176987,1,3,3844.65,39,1200.0,facebook,tablet,United Kingdom
CLIENT_177041,1,1,27193.07,34,651.0,google,desktop,Sweden
CLIENT_177136,1,1,15264.9,13,1362.0,email,desktop,Sweden
CLIENT_177967,1,1,36369.93,35,1483.0,referral,mobile,Germany
CLIENT_178463,1,2,49223.72,12,1093.0,google,desktop,Germany
CLIENT_178658,1,1,42661.27,40,1393.0,email,tablet,Sweden
CLIENT_180501,1,1,14392.5,28,53.0,direct,desktop,Germany
CLIENT_180648,1,1,18915.45,41,964.0,referral,tablet,Sweden
CLIENT_180675,1,1,47391.06,37,1426.0,direct,mobile,United States
CLIENT_180942,1,1,37830.21,48,1142.0,email,mobile,Germany
CLIENT_181316,1,2,14812.74,49,1761.0,email,desktop,United Kingdom
CLIENT_182064,1,3,35312.57,28,259.0,facebook,mobile,Sweden
CLIENT_182199,1,1,7288.53,16,1561.0,referral,desktop,Sweden
CLIENT_182300,1,1,37583.45,2,1164.0,google,mobile,Germany
CLIENT_182953,1,1,2372.78,7,559.0,direct,tablet,United States
CLIENT_184508,1,1,10165.1,16,740.0,referral,mobile,France
CLIENT_185754,1,1,9898.48,17,1217.0,google,desktop,Germany
CLIENT_186170,1,1,27797.99,47,605.0,facebook,mobile,United Kingdom
CLIENT_186896,1,1,25519.86,14,1231.0,direct,desktop,Sweden
CLIENT_187171,1,2,38005.62,21,828.0,email,tablet,Sweden
CLIENT_187574,1,1,42632.14,2,970.0,facebook,desktop,Germany
CLIENT_188496,1,1,49635.52,24,1212.0,direct,desktop,Germany
CLIENT_188593,1,2,25909.42,35,1327.0,email,desktop,Germany
CLIENT_188718,1,1,33139.73,21,387.0,facebook,desktop,Germany
CLIENT_189103,1,2,16050.04,50,989.0,facebook,desktop,United Kingdom
CLIENT_192979,1,2,20748.08,12,36.0,email,tablet,Sweden
CLIENT_193590,1,3,9609.06,44,712.0,direct,tablet,Sweden
CLIENT_195909,1,1,46740.74,41,1568.0,email,tablet,United Kingdom
CLIENT_196866,1,3,24697.43,13,1456.0,direct,desktop,Sweden
CLIENT_197313,1,1,11140.28,11,1000.0,direct,tablet,Germany
CLIENT_198530,1,1,9001.28,48,1359.0,direct,mobile,United States
CLIENT_198741,1,3,30237.8,40,723.0,facebook,desktop,United Kingdom
CLIENT_199087,1,3,44905.63,20,178.0,referral,tablet,Sweden
CLIENT_200512,1,3,17093.81,26,1755.0,google,tablet,United Kingdom
CLIENT_200777,1,2,41475.29,28,1623.0,direct,desktop,France
