customer_id,session_id,date,transactions,revenue,revenue_sek,pageviews,time_on_site,traffic_source,traffic_medium,device_type,country,city
CLIENT_472655,SESSION_000000,20230709,1,2263.74,41847.79,26,1353,direct,email,desktop,Germany,Malmö
CLIENT_228270,SESSION_000001,20230722,3,1301.78,22378.08,3,544,referral,email,desktop,United Kingdom,London
CLIENT_591949,SESSION_000002,20230710,3,1464.23,1476.85,33,862,direct,referral,tablet,France,Göteborg
CLIENT_739714,SESSION_000003,20230727,3,931.91,1459.34,9,1382,referral,organic,desktop,United States,New York
CLIENT_377449,SESSION_000004,20230729,1,3323.68,15265.41,29,1442,email,organic,tablet,Germany,Malmö
CLIENT_704142,SESSION_000005,20230709,2,2882.97,46396.82,33,522,facebook,organic,mobile,Sweden,New York
CLIENT_822239,SESSION_000006,20230720,1,4909.19,30783.73,2,141,email,none,mobile,France,New York
CLIENT_332525,SESSION_000007,20230705,1,2844.19,23656.28,9,1570,referral,cpc,tablet,United Kingdom,London
CLIENT_914790,SESSION_000008,20230725,1,4299.54,14875.24,9,807,google,referral,desktop,Germany,Stockholm
CLIENT_553684,SESSION_000009,20230714,1,3151.61,39763.54,33,704,referral,email,mobile,United States,New York
CLIENT_949591,SESSION_000010,20230712,1,3496.44,34389.54,30,124,direct,cpc,desktop,Sweden,Malmö
CLIENT_472621,SESSION_000011,20230705,3,1667.55,18176.38,45,1024,google,referral,desktop,Sweden,Göteborg
CLIENT_767883,SESSION_000012,20230707,1,2668.56,47760.81,20,474,facebook,organic,desktop,United Kingdom,Malmö
CLIENT_234247,SESSION_000013,20230705,1,3957.33,20006.91,41,247,referral,email,mobile,Germany,London
CLIENT_488983,SESSION_000014,20230729,1,4837.31,8304.39,32,1586,direct,none,desktop,Germany,Malmö
CLIENT_623449,SESSION_000015,20230722,2,1262.73,46277.76,40,907,email,email,tablet,United Kingdom,Göteborg
CLIENT_544442,SESSION_000016,20230715,1,3224.17,11771.26,49,271,email,none,mobile,United States,Malmö
CLIENT_806090,SESSION_000017,20230730,1,361.78,27840.15,43,130,direct,cpc,mobile,Germany,Malmö
CLIENT_389608,SESSION_000018,20230721,1,4165.56,21823.16,19,1371,referral,organic,mobile,Germany,Stockholm
CLIENT_100100,SESSION_000019,20230718,1,3314.35,6040.6,48,479,direct,referral,tablet,Sweden,New York
CLIENT_964127,SESSION_000020,20230714,2,2038.89,49746.3,5,1076,direct,organic,desktop,United States,London
CLIENT_899403,SESSION_000021,20230726,1,1611.27,38915.16,4,167,facebook,none,tablet,Sweden,Stockholm
CLIENT_842848,SESSION_000022,20230725,3,2136.06,30180.39,13,325,referral,referral,mobile,Germany,London
