order_id,date,customer_id,customer_name,city,product_category,bottles_sold,order_amount_sek
INV_000000,2023-01-08,STORE_3219,Malmö Spritbutiken,Lund,Champagne,21,3306.97
INV_000001,2023-03-29,STORE_6081,Stockholm Systembolaget,Stockholm,White Wine,9,3769.39
INV_000002,2023-03-31,STORE_7597,Malmö Spritbutiken,Lund,Whiskey,11,3493.36
INV_000003,2023-01-10,STORE_5155,Stockholm Systembolaget,Stockholm,Whiskey,40,3781.59
INV_000004,2023-01-31,STORE_2667,Göteborg Vinkällaren,Stockholm,Champagne,10,4640.53
INV_000005,2023-01-01,STORE_1300,Göteborg Vinkällaren,Malmö,Beer,23,5955.85
INV_000006,2023-01-24,STORE_5003,Göteborg Vinkällaren,Lund,Red Wine,35,3967.94
INV_000007,2023-03-12,STORE_8757,Stockholm Systembolaget,Malmö,Beer,16,834.11
INV_000008,2023-03-26,STORE_1427,Stockholm Systembolaget,Lund,Whiskey,3,1367.38
INV_000009,2023-03-07,STORE_1372,Göteborg Vinkällaren,Göteborg,Beer,10,4459.8
INV_000010,2023-03-07,STORE_3956,Göteborg Vinkällaren,Malmö,Whiskey,37,6091.13
INV_000011,2023-01-03,STORE_7116,Stockholm Systembolaget,Göteborg,Beer,50,24084.44
INV_000012,2023-01-02,STORE_2673,Stockholm Systembolaget,Stockholm,Champagne,48,10534.19
INV_000013,2023-02-04,STORE_9176,Malmö Spritbutiken,Uppsala,Spirits,32,4940.15
INV_000014,2023-01-30,STORE_7087,Malmö Spritbutiken,Stockholm,Spirits,29,4027.08
INV_000015,2023-01-12,STORE_5775,Stockholm Systembolaget,Lund,Beer,39,14805.16
INV_000016,2023-03-09,STORE_5845,Stockholm Systembolaget,Malmö,Red Wine,16,1036.77
INV_000017,2023-01-12,STORE_1429,Stockholm Systembolaget,Stockholm,White Wine,12,5042.96
INV_000018,2023-01-30,STORE_4719,Malmö Spritbutiken,Göteborg,Red Wine,28,3422.89
INV_000019,2023-01-05,STORE_5110,Göteborg Vinkällaren,Stockholm,White Wine,5,1475.96
INV_000020,2023-01-20,STORE_7936,Göteborg Vinkällaren,Uppsala,White Wine,47,4195.56
INV_000021,2023-01-28,STORE_8401,Malmö Spritbutiken,Göteborg,Red Wine,48,16637.59
INV_000022,2023-01-03,STORE_9119,Göteborg Vinkällaren,Uppsala,Beer,31,1810.83
INV_000023,2023-02-24,STORE_6125,Göteborg Vinkällaren,Göteborg,White Wine,49,23154.71
INV_000024,2023-03-11,STORE_4688,Malmö Spritbutiken,Malmö,Whiskey,16,7123.39
INV_000025,2023-03-10,STORE_5463,Stockholm Systembolaget,Göteborg,White Wine,2,285.8
INV_000026,2023-03-19,STORE_1978,Malmö Spritbutiken,Stockholm,Whiskey,1,182.09
INV_000027,2023-02-16,STORE_9252,Stockholm Systembolaget,Stockholm,White Wine,28,5751.54
INV_000028,2023-01-01,STORE_1193,Stockholm Systembolaget,Lund,White Wine,8,2553.09
INV_000029,2023-02-02,STORE_2548,Stockholm Systembolaget,Uppsala,Whiskey,28,10636.91
INV_000030,2023-03-03,STORE_6691,Malmö Spritbutiken,Lund,Red Wine,37,13573.36
INV_000031,2023-03-07,STORE_6518,Malmö Spritbutiken,Uppsala,Champagne,31,4862.19
INV_000032,2023-03-30,STORE_8265,Malmö Spritbutiken,Lund,Whiskey,3,776.19
INV_000033,2023-01-03,STORE_2451,Göteborg Vinkällaren,Stockholm,Champagne,33,3701.94
INV_000034,2023-01-24,STORE_9121,Malmö Spritbutiken,Malmö,Spirits,27,12862.62
INV_000035,2023-02-27,STORE_8857,Malmö Spritbutiken,Uppsala,Beer,32,6577.8
INV_000036,2023-04-01,STORE_1908,Malmö Spritbutiken,Göteborg,Spirits,22,7643.21
INV_000037,2023-03-27,STORE_6363,Stockholm Systembolaget,Uppsala,Whiskey,16,7969.48
INV_000038,2023-01-08,STORE_1138,Göteborg Vinkällaren,Stockholm,Red Wine,9,2700.1
INV_000039,2023-03-27,STORE_2268,Göteborg Vinkällaren,Uppsala,Spirits,1,212.9
INV_000040,2023-01-19,STORE_8087,Malmö Spritbutiken,Malmö,Champagne,1,426.06
INV_000041,2023-03-20,STORE_4103,Göteborg Vinkällaren,Lund,Whiskey,31,11436.73
INV_000042,2023-01-03,STORE_7896,Göteborg Vinkällaren,Malmö,Red Wine,34,13488.36
INV_000043,2023-01-13,STORE_4241,Göteborg Vinkällaren,Stockholm,Champagne,6,789.01
INV_000044,2023-02-13,STORE_2653,Malmö Spritbutiken,Uppsala,Champagne,48,11752.94
INV_000045,2023-01-15,STORE_3783,Stockholm Systembolaget,Uppsala,Champagne,9,3031.94
INV_000046,2023-02-04,STORE_9457,Stockholm Systembolaget,Lund,Spirits,35,13216.97
INV_000047,2023-02-25,STORE_1350,Malmö Spritbutiken,Lund,Spirits,4,1290.66
INV_000048,2023-03-15,STORE_1099,Malmö Spritbutiken,Uppsala,Champagne,35,9323.59
INV_000049,2023-04-01,STORE_9685,Göteborg Vinkällaren,Lund,White Wine,24,8116.35
INV_000050,2023-01-27,STORE_7430,Malmö Spritbutiken,Malmö,Beer,47,20364.06
INV_000051,2023-01-01,STORE_5501,Malmö Spritbutiken,Uppsala,Beer,8,862.96
INV_000052,2023-04-01,STORE_3169,Malmö Spritbutiken,Malmö,White Wine,26,7359.08
INV_000053,2023-02-23,STORE_8172,Malmö Spritbutiken,Göteborg,Whiskey,32,8404.01
INV_000054,2023-03-25,STORE_7919,Göteborg Vinkällaren,Lund,Red Wine,17,2773.51
INV_000055,2023-02-15,STORE_6866,Malmö Spritbutiken,Malmö,Champagne,22,3403.62
INV_000056,2023-01-26,STORE_3859,Göteborg Vinkällaren,Stockholm,Red Wine,27,3280.5
INV_000057,2023-03-19,STORE_6361,Stockholm Systembolaget,Uppsala,Red Wine,43,20038.25
INV_000058,2023-03-06,STORE_6081,Malmö Spritbutiken,Lund,Spirits,49,6480.37
INV_000059,2023-01-31,STORE_7767,Stockholm Systembolaget,Lund,Spirits,29,2308.49
INV_000060,2023-03-16,STORE_1140,Malmö Spritbutiken,Stockholm,Champagne,6,1169.95
INV_000061,2023-03-14,STORE_1302,Stockholm Systembolaget,Stockholm,Red Wine,42,5139.19
INV_000062,2023-01-28,STORE_7204,Stockholm Systembolaget,Lund,Champagne,24,3717.75
INV_000063,2023-03-20,STORE_5913,Stockholm Systembolaget,Lund,Whiskey,37,9304.97
INV_000064,2023-03-04,STORE_5431,Malmö Spritbutiken,Stockholm,Whiskey,34,5911.34
INV_000065,2023-02-05,STORE_3083,Malmö Spritbutiken,Stockholm,Whiskey,29,10712.57
INV_000066,2023-03-26,STORE_1889,Göteborg Vinkällaren,Lund,Red Wine,18,2046.49
INV_000067,2023-02-21,STORE_8140,Göteborg Vinkällaren,Malmö,White Wine,9,689.68
INV_000068,2023-01-03,STORE_3615,Malmö Spritbutiken,Uppsala,Beer,19,7314.67
INV_000069,2023-02-17,STORE_7362,Stockholm Systembolaget,Lund,Red Wine,50,8215.14
INV_000070,2023-01-16,STORE_3415,Stockholm Systembolaget,Malmö,Spirits,10,507.69
INV_000071,2023-01-11,STORE_5295,Malmö Spritbutiken,Göteborg,White Wine,38,17321.47
INV_000072,2023-04-01,STORE_4283,Göteborg Vinkällaren,Lund,Spirits,36,4285.77
INV_000073,2023-02-13,STORE_3832,Göteborg Vinkällaren,Uppsala,Spirits,2,671.63
INV_000074,2023-02-20,STORE_4533,Stockholm Systembolaget,Malmö,White Wine,5,566.11
INV_000075,2023-01-17,STORE_8520,Malmö Spritbutiken,Uppsala,Spirits,4,1349.03
INV_000076,2023-01-02,STORE_9667,Stockholm Systembolaget,Stockholm,Whiskey,44,6706.02
INV_000077,2023-01-20,STORE_3980,Malmö Spritbutiken,Uppsala,White Wine,42,11075.57
INV_000078,2023-02-26,STORE_5324,Stockholm Systembolaget,Lund,Red Wine,39,14194.28
INV_000079,2023-03-07,STORE_6214,Stockholm Systembolaget,Lund,Red Wine,11,4447.47
INV_000080,2023-02-19,STORE_8749,Stockholm Systembolaget,Uppsala,Spirits,7,421.89
INV_000081,2023-02-26,STORE_3655,Göteborg Vinkällaren,Malmö,White Wine,13,2715.15
INV_000082,2023-03-17,STORE_1068,Malmö Spritbutiken,Lund,Spirits,33,7650.37
INV_000083,2023-03-18,STORE_9671,Stockholm Systembolaget,Lund,Beer,21,2721.26
