service_date,trip_distance,fare_amount_sek,total_amount_sek,payment_type,passenger_count
2023-06-27,2.77,782.29,819.93,Cash,1
2023-06-25,9.76,1620.74,1648.27,Cash,3
2023-06-01,3.18,832.15,868.31,Credit Card,4
2023-06-06,18.89,2716.63,3211.75,Mobile Payment,4
2023-06-18,4.31,967.08,1167.77,Mobile Payment,4
2023-07-01,8.9,1517.98,1887.86,Mobile Payment,2
2023-06-18,6.16,1189.36,1432.93,Cash,3
2023-06-19,19.22,2756.81,3033.8,Credit Card,1
2023-06-12,13.35,2052.11,2509.49,Mobile Payment,4
2023-06-02,15.49,2308.69,2789.28,Cash,1
2023-06-26,11.86,1873.78,2038.42,Cash,1
2023-06-15,7.6,1361.42,1502.7,Mobile Payment,3
2023-06-18,5.82,1148.61,1162.34,Mobile Payment,2
2023-06-07,1.64,647.25,768.62,Cash,3
2023-06-20,15.83,2349.6,2406.22,Credit Card,3
2023-06-16,7.34,1330.22,1408.15,Cash,3
2023-06-28,6.0,1169.42,1298.66,Credit Card,4
2023-06-21,17.48,2547.09,2721.31,Mobile Payment,2
2023-06-20,4.72,1016.25,1136.26,Cash,2
2023-06-02,3.05,815.73,971.05,Mobile Payment,4
2023-07-01,12.68,1971.0,2288.65,Mobile Payment,2
2023-06-18,5.84,1150.36,1229.71,Cash,3
2023-06-21,21.0,2970.22,3377.39,Cash,3
2023-06-07,14.83,2230.08,2519.69,Mobile Payment,4
2023-06-19,17.48,2547.31,3079.7,Credit Card,1
2023-06-03,2.92,800.62,920.94,Mobile Payment,3
2023-06-14,23.62,3283.9,3845.12,Cash,2
2023-06-23,1.8,666.08,672.84,Mobile Payment,2
2023-06-07,9.72,1616.44,1657.81,Credit Card,2
2023-06-07,16.85,2471.51,2592.84,Credit Card,4
2023-06-11,19.59,2800.94,3079.5,Credit Card,4
2023-06-02,22.69,3173.37,3808.24,Mobile Payment,4
2023-06-18,14.64,2206.41,2644.59,Cash,1
2023-06-28,5.1,1062.28,1173.87,Mobile Payment,2
2023-06-04,17.51,2551.63,2729.71,Credit Card,1
2023-06-14,3.94,922.73,1067.22,Credit Card,2
2023-06-10,14.82,2228.98,2725.29,Credit Card,2
2023-06-23,15.22,2276.1,2455.86,Mobile Payment,1
2023-06-28,12.96,2004.9,2211.9,Mobile Payment,2
2023-06-19,3.77,901.93,1037.61,Cash,2
2023-06-05,3.19,832.67,833.15,Mobile Payment,3
2023-06-22,4.33,969.43,1184.67,Cash,1
2023-06-18,1.89,676.73,781.33,Credit Card,4
2023-07-01,16.04,2374.59,2816.33,Mobile Payment,4
2023-06-17,9.28,1563.69,1830.34,Cash,3
2023-06-02,24.55,3395.55,3396.13,Credit Card,4
2023-06-29,10.73,1737.93,2106.73,Cash,1
2023-06-02,3.7,893.86,923.35,Cash,1
2023-06-10,13.14,2026.7,2392.86,Mobile Payment,4
2023-06-12,6.52,1231.81,1306.64,Credit Card,4
2023-06-04,5.78,1144.09,1379.28,Mobile Payment,3
2023-06-25,2.47,746.84,908.32,Credit Card,2
2023-06-18,11.36,1813.68,2107.01,Credit Card,3
2023-06-27,23.14,3227.08,3676.37,Cash,4
2023-06-23,5.86,1153.62,1282.16,Mobile Payment,3
2023-06-01,0.99,569.04,570.69,Mobile Payment,2
2023-06-19,15.91,2359.74,2568.36,Mobile Payment,2
2023-06-29,2.59,760.71,780.27,Mobile Payment,1
2023-06-23,18.64,2686.25,2997.99,Cash,4
2023-06-25,14.25,2160.46,2162.25,Cash,2
2023-06-18,14.32,2168.82,2585.02,Mobile Payment,2
2023-06-03,4.62,1004.56,1209.02,Mobile Payment,4
2023-06-28,15.64,2326.98,2797.66,Credit Card,4
2023-06-30,1.59,641.29,775.61,Mobile Payment,4
2023-06-12,9.55,1595.41,1943.78,Credit Card,4
2023-06-23,16.63,2445.17,2997.76,Credit Card,4
2023-06-29,4.89,1036.77,1213.89,Mobile Payment,3
2023-06-02,3.37,854.64,921.61,Credit Card,1
2023-06-19,21.82,3068.06,3689.04,Cash,2
2023-06-17,3.14,827.13,834.66,Credit Card,2
2023-06-15,17.08,2499.44,3004.79,Mobile Payment,4
2023-06-02,8.94,1523.2,1629.59,Cash,1
2023-06-09,20.75,2940.33,3597.82,Credit Card,2
2023-06-10,14.44,2182.48,2393.5,Cash,2
2023-06-18,7.85,1391.42,1469.37,Cash,1
2023-06-02,15.29,2284.4,2367.56,Mobile Payment,1
2023-06-11,2.15,707.81,761.34,Mobile Payment,3
2023-06-25,9.51,1591.19,1965.95,Credit Card,4
2023-06-22,15.5,2310.45,2712.99,Credit Card,3
2023-06-28,9.41,1578.66,1631.1,Mobile Payment,4
2023-06-01,18.97,2726.97,3205.21,Credit Card,1
2023-06-14,15.08,2259.77,2816.68,Mobile Payment,1
2023-06-02,14.04,2134.91,2406.26,Cash,2
2023-06-13,20.75,2940.24,3100.71,Cash,3
2023-06-08,5.73,1137.6,1419.9,Mobile Payment,1
2023-06-30,0.92,559.83,645.73,Mobile Payment,2
2023-07-01,7.53,1353.04,1437.5,Credit Card,3
2023-06-03,14.42,2180.23,2601.69,Credit Card,3
2023-06-06,7.31,1326.99,1338.84,Mobile Payment,2
2023-06-13,19.41,2778.98,3033.74,Credit Card,3
2023-06-30,8.92,1520.7,1845.02,Mobile Payment,4
2023-06-09,15.33,2289.42,2373.03,Credit Card,2
2023-06-20,6.55,1236.51,1394.51,Cash,2
2023-06-04,5.47,1105.93,1377.96,Credit Card,4
2023-06-17,17.8,2585.44,2951.01,Credit Card,2
2023-06-06,17.68,2572.03,2585.61,Credit Card,4
2023-06-24,6.83,1270.1,1367.33,Cash,3
2023-06-19,6.2,1193.98,1290.88,Cash,3
2023-06-19,14.21,2155.57,2368.69,Credit Card,2
2023-06-20,24.11,3343.41,3544.4,Cash,4
2023-06-30,7.95,1404.56,1589.99,Credit Card,1
2023-06-28,16.03,2373.9,2512.72,Cash,4
2023-06-22,15.16,2269.48,2701.7,Credit Card,3
2023-07-01,9.89,1637.02,1851.15,Cash,2
2023-06-18,23.12,3224.48,3999.66,Cash,1
2023-06-18,6.87,1274.6,1587.84,Mobile Payment,1
2023-06-06,1.83,669.23,829.93,Cash,3
2023-06-03,11.55,1835.91,1906.26,Cash,1
2023-06-27,3.16,828.85,878.72,Credit Card,1
2023-06-26,6.0,1169.64,1176.04,Mobile Payment,1
2023-06-13,5.13,1065.98,1317.06,Cash,2
2023-06-17,11.16,1789.39,2105.17,Cash,4
2023-06-03,12.47,1946.88,2114.91,Mobile Payment,2
2023-06-07,11.63,1845.3,1870.74,Mobile Payment,3
2023-06-20,17.01,2491.29,3023.64,Cash,1
2023-06-22,23.54,3274.44,3310.34,Cash,2
2023-06-15,6.91,1279.6,1464.03,Credit Card,4
2023-06-01,24.96,3444.8,4004.4,Credit Card,3
2023-06-21,7.97,1406.66,1647.38,Cash,4
2023-06-03,12.36,1932.96,2128.83,Cash,2
2023-06-18,1.78,663.75,776.98,Mobile Payment,1
2023-06-21,15.74,2339.04,2719.68,Mobile Payment,2
2023-06-23,24.49,3388.48,3853.11,Credit Card,3
2023-06-30,24.01,3331.16,4057.33,Cash,2
2023-06-20,23.8,3306.53,3455.54,Cash,3
2023-06-16,5.29,1084.97,1341.45,Mobile Payment,4
2023-06-08,4.83,1029.03,1230.32,Credit Card,3
2023-06-23,19.04,2735.22,2955.33,Mobile Payment,3
2023-06-17,5.84,1150.71,1390.17,Cash,4
2023-06-12,12.74,1978.2,2127.73,Mobile Payment,2
2023-06-26,23.63,3285.46,3316.21,Mobile Payment,2
2023-06-30,14.42,2180.61,2537.58,Credit Card,3
2023-06-12,19.62,2804.4,3477.4,Mobile Payment,1
2023-06-12,2.65,768.12,787.86,Cash,2
2023-06-24,10.22,1676.42,1750.5,Mobile Payment,1
2023-06-16,10.7,1733.52,2162.61,Mobile Payment,4
2023-06-17,11.54,1834.21,2093.89,Mobile Payment,4
2023-06-16,1.37,614.72,736.08,Mobile Payment,4
2023-06-09,21.31,3007.38,3098.77,Mobile Payment,2
2023-06-03,11.13,1785.51,1833.37,Credit Card,1
2023-06-28,16.11,2383.05,2563.35,Mobile Payment,1
2023-06-23,1.76,660.64,779.47,Credit Card,1
2023-06-16,11.03,1773.46,1862.1,Credit Card,3
2023-06-01,14.17,2150.53,2431.21,Cash,4
2023-06-27,19.23,2757.54,3331.39,Cash,1
2023-06-14,3.49,869.2,1007.75,Credit Card,1
2023-06-23,4.65,1008.14,1125.09,Mobile Payment,2
2023-06-30,2.24,719.18,762.59,Mobile Payment,4
2023-06-05,12.68,1971.57,2351.7,Credit Card,3
2023-06-15,2.19,713.0,824.77,Mobile Payment,2
2023-06-17,1.37,614.99,700.89,Cash,4
2023-06-23,1.4,618.03,741.85,Cash,1
2023-06-23,14.02,2132.17,2291.89,Cash,1
2023-06-20,6.18,1191.64,1484.09,Mobile Payment,1
2023-06-27,2.17,710.55,711.01,Mobile Payment,1
2023-06-10,3.96,925.3,938.16,Credit Card,2
2023-06-04,19.36,2773.63,3164.36,Mobile Payment,3
2023-06-17,0.58,519.15,526.74,Mobile Payment,3
2023-06-19,14.62,2204.12,2442.52,Cash,1
2023-06-17,7.15,1308.59,1629.6,Cash,4
2023-06-24,6.26,1201.55,1446.68,Cash,2
2023-06-16,7.9,1398.48,1640.64,Mobile Payment,3
2023-06-09,1.91,678.74,832.16,Cash,3
2023-06-25,9.71,1615.5,1895.42,Credit Card,3
2023-06-04,1.2,594.05,727.12,Cash,4
