order_id,date,customer_id,customer_name,city,zip_code,county,product_category,product_name,bottles_sold,order_amount,order_amount_sek,volume_sold_liters,volume_sold_gallons
INV-57117500011,2023-03-31,5561,CASEY'S GENERAL STORE #32 / MADRID,MADRID,50156.0,BOONE,AMERICAN VODKAS,SMIRNOFF 80PRF,24,179.76,1797.6,9.0,2.37
INV-57135200008,2023-03-31,4182,FAREWAY STORES #008 / DYERSVILLE,DYERSVILLE,52040.0,DUBUQUE,TENNESSEE WHISKIES,JACK DANIELS OLD #7 BLACK LABEL,12,286.44,2864.4,9.0,2.37
INV-57122500005,2023-03-31,2688,HY-VEE C-STORE - EAST HICKMAN,WAUKEE,50263.0,DALLAS,SPICED RUM,ADMIRAL NELSON SPICED MINI,16,135.84,1358.4,0.8,0.21
INV-57121800015,2023-03-31,6045,KUM & GO #3156 / CLIVE,CLIVE,50325.0,POLK,AMERICAN VODKAS,BLUE OX VODKA,6,19.38,193.79999999999998,2.25,0.59
INV-57117800058,2023-03-31,2505,HY-VEE WINE AND SPIRITS (1038) / BOONE,BOONE,50036.0,BOONE,WHITE RUM,BACARDI SUPERIOR PET,6,139.5,1395.0,10.5,2.77
INV-57111500001,2023-03-31,4853,KUM & GO #62 / JOHNSTON,JOHNSTON,50131.0,POLK,AMERICAN SCHNAPPS,99 FRUITS MINI,12,77.4,774.0,0.6,0.15
INV-57158900027,2023-03-31,10037,WHISKEY WOLF LIQUOR / GLENWOOD,GLENWOOD,51534.0,MILLS,STRAIGHT BOURBON WHISKIES,JIM BEAM PEACH MINI,3,31.5,315.0,0.15,0.03
INV-57150200017,2023-03-31,5237,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,50501.0,IOWA,AMERICAN SCHNAPPS,99 ORANGES MINI,2,15.48,154.8,0.1,0.02
INV-57141800003,2023-03-31,3660,WAL-MART 2935 / KNOXVILLE,KNOXVILLE,50138.0,MARION,CANADIAN WHISKIES,BLACK VELVET,6,99.0,990.0,10.5,2.77
INV-57117400002,2023-03-31,4575,CASEY'S GENERAL STORE #2304 / SLATER,SLATER,50244.0,STORY,AMERICAN VODKAS,HAWKEYE VODKA MINI,3,20.25,202.5,0.15,0.03
INV-57153100063,2023-03-31,10153,IOWA SPIRITS / BURLINGTON,BURLINGTON,52601.0,DES MOINES,100% AGAVE TEQUILA,CORRALEJO REPOSADO,1,45.75,457.5,1.75,0.46
INV-57128400016,2023-03-31,6052,CASEY'S GENERAL STORE #2568 / NORWALK,NORWALK,50211.0,WARREN,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY MINI SLEEVE,24,154.8,1548.0,1.2,0.31
INV-57126500035,2023-03-31,5106,RANDY'S NEIGHBORHOOD MARKET,DEWITT,52742.0,CLINTON,AMERICAN SCHNAPPS,ARROW PEPPERMINT SCHNAPPS,6,67.5,675.0,10.5,2.77
INV-57129500010,2023-03-31,4301,SAHOTA FOOD MART,DES MOINES,50320.0,POLK,SPICED RUM,CAPTAIN MORGAN ORIGINAL SPICED,12,163.08,1630.8000000000002,9.0,2.37
INV-57113900017,2023-03-31,2190,"CENTRAL CITY LIQUOR, INC.",DES MOINES,50314.0,POLK,AMERICAN DRY GINS,GILBEYS GIN,6,94.44,944.4,10.5,2.77
