order_id,date,customer_id,customer_name,city,product_category,bottles_sold,order_amount_sek
INV_000000,2023-02-13,STORE_4539,Göteborg Vinkällaren,Lund,White Wine,4,415.52
INV_000001,2023-02-27,STORE_6251,Stockholm Systembolaget,Göteborg,White Wine,34,14934.46
INV_000002,2023-01-05,STORE_9734,Göteborg Vinkällaren,Stockholm,Champagne,2,956.15
INV_000003,2023-03-19,STORE_6627,Malmö Spritbutiken,Uppsala,Beer,35,15294.05
INV_000004,2023-01-08,STORE_4552,Göteborg Vinkällaren,Lund,White Wine,6,1168.04
INV_000005,2023-01-19,STORE_2107,Malmö Spritbutiken,Göteborg,Beer,7,1615.36
INV_000006,2023-01-14,STORE_5769,Göteborg Vinkällaren,Lund,Spirits,33,5318.27
INV_000007,2023-01-06,STORE_3164,Göteborg Vinkällaren,Stockholm,Beer,7,732.95
INV_000008,2023-01-06,STORE_3494,Göteborg Vinkällaren,Stockholm,Beer,40,7704.09
INV_000009,2023-01-19,STORE_4530,Göteborg Vinkällaren,Malmö,White Wine,8,2067.62
INV_000010,2023-02-22,STORE_6731,Stockholm Systembolaget,Lund,Champagne,50,2939.83
INV_000011,2023-02-28,STORE_2215,Göteborg Vinkällaren,Malmö,White Wine,45,13404.75
INV_000012,2023-03-27,STORE_5892,Stockholm Systembolaget,Lund,Beer,8,1537.71
INV_000013,2023-02-22,STORE_5936,Malmö Spritbutiken,Göteborg,Spirits,39,10032.95
INV_000014,2023-03-21,STORE_2410,Göteborg Vinkällaren,Lund,Red Wine,21,1691.31
INV_000015,2023-01-12,STORE_4430,Göteborg Vinkällaren,Göteborg,Beer,47,17780.51
INV_000016,2023-01-14,STORE_6677,Stockholm Systembolaget,Malmö,Spirits,14,4698.47
INV_000017,2023-01-19,STORE_4761,Göteborg Vinkällaren,Göteborg,Red Wine,29,2148.47
INV_000018,2023-02-06,STORE_3875,Göteborg Vinkällaren,Göteborg,White Wine,39,14333.77
INV_000019,2023-02-02,STORE_8904,Malmö Spritbutiken,Lund,Whiskey,17,3273.37
INV_000020,2023-02-14,STORE_1603,Göteborg Vinkällaren,Uppsala,Whiskey,32,2317.75
INV_000021,2023-03-30,STORE_6493,Malmö Spritbutiken,Lund,Champagne,42,14611.66
INV_000022,2023-02-13,STORE_2568,Malmö Spritbutiken,Uppsala,Red Wine,49,21697.52
INV_000023,2023-01-15,STORE_9451,Malmö Spritbutiken,Stockholm,White Wine,24,6806.5
INV_000024,2023-01-08,STORE_5668,Göteborg Vinkällaren,Stockholm,Beer,36,8538.29
INV_000025,2023-02-21,STORE_2985,Malmö Spritbutiken,Malmö,Beer,12,5175.36
INV_000026,2023-02-07,STORE_5550,Malmö Spritbutiken,Uppsala,Beer,36,12667.83
INV_000027,2023-01-06,STORE_5458,Göteborg Vinkällaren,Stockholm,Red Wine,12,1760.93
INV_000028,2023-02-28,STORE_1606,Stockholm Systembolaget,Malmö,Beer,50,11449.06
INV_000029,2023-03-05,STORE_7225,Stockholm Systembolaget,Göteborg,Beer,31,4482.14
INV_000030,2023-02-24,STORE_1401,Malmö Spritbutiken,Stockholm,Red Wine,44,19966.07
INV_000031,2023-01-23,STORE_3806,Malmö Spritbutiken,Malmö,Champagne,8,1531.18
INV_000032,2023-03-21,STORE_7172,Göteborg Vinkällaren,Lund,Red Wine,23,6940.21
INV_000033,2023-01-13,STORE_5019,Stockholm Systembolaget,Stockholm,Red Wine,48,5547.55
INV_000034,2023-02-28,STORE_5765,Göteborg Vinkällaren,Malmö,Whiskey,15,4097.61
INV_000035,2023-01-01,STORE_9621,Göteborg Vinkällaren,Göteborg,Spirits,32,5592.16
INV_000036,2023-02-06,STORE_1483,Stockholm Systembolaget,Stockholm,Champagne,41,16666.38
INV_000037,2023-02-22,STORE_3734,Malmö Spritbutiken,Göteborg,Spirits,2,291.79
INV_000038,2023-03-16,STORE_4639,Stockholm Systembolaget,Göteborg,Red Wine,36,4647.67
INV_000039,2023-01-14,STORE_7521,Göteborg Vinkällaren,Stockholm,Beer,3,1224.39
