service_date,trip_distance,fare_amount_sek,total_amount_sek,payment_type,passenger_count
2023-07-01,12.83,1989.53,2230.94,Credit Card,4
2023-06-09,15.77,2341.91,2363.39,Cash,2
2023-07-01,24.5,3390.38,3919.15,Mobile Payment,1
2023-06-30,2.78,783.56,937.5,Cash,1
2023-06-12,3.59,880.82,1099.96,Credit Card,2
2023-06-25,15.4,2298.38,2700.23,Credit Card,4
2023-06-23,1.75,659.64,669.71,Mobile Payment,3
2023-06-05,5.53,1113.9,1171.12,Cash,4
2023-06-20,14.11,2143.62,2506.01,Credit Card,2
2023-06-16,18.38,2655.03,3247.97,Cash,3
2023-06-10,9.29,1564.74,1822.87,Cash,1
2023-06-16,6.54,1234.8,1506.75,Cash,1
2023-06-27,7.56,1356.75,1392.89,Mobile Payment,4
2023-06-19,1.04,575.03,712.42,Credit Card,2
2023-06-09,22.54,3155.27,3658.24,Cash,2
2023-06-08,6.67,1250.06,1293.56,Credit Card,3
2023-06-14,5.57,1118.09,1119.69,Mobile Payment,1
2023-06-13,13.61,2083.2,2398.73,Credit Card,1
2023-06-06,16.82,2468.62,2987.91,Credit Card,2
2023-06-19,24.37,3373.9,3456.54,Credit Card,4
2023-06-09,13.68,2091.83,2210.27,Mobile Payment,4
2023-06-14,23.68,3291.18,4098.96,Credit Card,1
2023-06-11,15.64,2326.7,2679.12,Mobile Payment,3
2023-06-02,24.52,3392.63,4117.32,Mobile Payment,3
2023-06-09,20.88,2955.07,2957.84,Credit Card,3
2023-06-28,6.03,1173.59,1238.3,Mobile Payment,1
2023-06-21,20.84,2950.33,3181.14,Mobile Payment,3
2023-06-15,1.49,629.35,715.6,Mobile Payment,1
2023-06-18,16.31,2407.63,2474.26,Cash,1
2023-06-06,16.25,2399.71,2902.62,Credit Card,1
2023-06-10,5.29,1084.77,1277.38,Credit Card,3
2023-06-12,16.86,2473.22,2832.08,Mobile Payment,2
2023-06-20,16.15,2388.34,2741.67,Credit Card,3
2023-06-30,5.73,1137.56,1203.16,Mobile Payment,2
2023-06-26,22.36,3132.97,3531.26,Cash,2
2023-06-09,14.5,2190.09,2222.1,Credit Card,1
2023-06-24,12.12,1904.1,1932.32,Mobile Payment,4
2023-06-19,15.46,2305.28,2329.94,Credit Card,3
2023-06-27,3.75,899.68,1045.85,Credit Card,1
2023-06-08,9.99,1649.26,2019.97,Cash,1
2023-06-09,18.11,2622.92,2873.7,Cash,1
2023-06-14,2.99,808.65,996.46,Cash,3
2023-06-08,2.12,704.66,810.85,Mobile Payment,2
2023-06-07,1.44,622.62,774.91,Credit Card,4
2023-06-17,8.26,1441.22,1600.31,Cash,2
2023-06-06,23.33,3250.02,3818.49,Cash,4
2023-06-22,17.57,2558.17,2683.85,Mobile Payment,1
2023-06-01,1.89,676.9,694.63,Mobile Payment,1
2023-06-07,22.62,3164.11,3404.86,Credit Card,1
2023-07-01,24.6,3402.21,4181.12,Credit Card,3
2023-06-17,13.39,2057.4,2533.1,Mobile Payment,4
2023-06-01,2.61,763.03,829.97,Cash,4
2023-06-07,12.28,1923.11,2094.79,Mobile Payment,1
2023-06-01,24.76,3421.23,4149.6,Mobile Payment,3
2023-06-28,9.24,1558.64,1942.26,Mobile Payment,1
2023-06-03,5.51,1111.72,1282.75,Credit Card,4
2023-06-26,7.85,1391.84,1709.29,Credit Card,3
2023-06-12,21.34,3010.34,3758.24,Credit Card,2
2023-06-23,7.84,1390.34,1553.14,Cash,3
2023-06-12,4.66,1008.63,1239.22,Cash,4
2023-06-26,13.61,2083.26,2516.62,Credit Card,3
2023-06-05,14.04,2134.84,2594.62,Credit Card,2
2023-06-12,22.23,3117.53,3366.55,Cash,2
2023-06-28,15.69,2332.89,2812.12,Credit Card,2
2023-06-30,18.28,2644.02,3104.32,Credit Card,3
2023-06-08,15.01,2251.15,2338.55,Credit Card,1
2023-06-04,11.39,1817.25,2185.52,Credit Card,4
2023-07-01,1.82,668.33,749.4,Mobile Payment,1
2023-06-22,12.62,1964.92,2027.59,Cash,3
2023-06-03,18.39,2657.28,2661.88,Cash,2
2023-06-19,5.91,1159.2,1292.22,Cash,3
2023-06-18,15.07,2258.93,2263.18,Cash,3
2023-06-10,18.16,2628.71,2909.66,Cash,1
2023-06-14,2.92,800.7,947.16,Cash,2
2023-06-07,18.29,2645.14,3265.33,Credit Card,4
2023-06-16,1.42,619.91,713.16,Credit Card,2
2023-06-28,22.62,3164.66,3484.46,Cash,2
2023-06-05,15.4,2298.02,2675.34,Cash,1
2023-07-01,6.46,1225.29,1433.01,Cash,1
2023-06-24,2.42,740.38,829.46,Cash,4
2023-06-25,21.47,3026.85,3480.85,Credit Card,4
2023-06-04,15.79,2345.13,2466.47,Mobile Payment,4
2023-06-05,4.12,943.88,1102.72,Credit Card,1
